品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質（for網站）	材質備註	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理步驟備註	使用建議（替代方案）	處理後應該丟哪一類?	處理備註	回收狀況	使用場域	各縣市回收狀況	回收率	資源化比例	資源化比例	文案	內容撰寫QA（vs. REnato）	字數統計	標籤	補充說明	祝福文案	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
洗面乳	Re-lab		◯			◯	"瓶蓋-塑膠（PP）
塑膠軟管-塑膠（PE）"		"瓶蓋-塑膠（PP）
塑膠軟管-塑膠（PE）"	清洗、分解零件、正確分類		使用包裝相對簡單的肥皂、或購買大容量的商品	"瓶蓋-塑膠容器類
塑膠軟管-塑膠容器類"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	洗面乳把你的臉洗乾淨，但用完後就換你把他洗乾淨。由PE塑膠製成管筒、PP塑膠製成蓋子的洗面乳多半是可以回收的材質，使用完畢的容器清洗後就可以依據上方是否有標注回收編號，以廢塑膠容器進行回收。		95	B		刷牙的時候會擠到洗面乳
濾水器濾芯	Re-lab	濾水器	◯			✕	濾水器濾芯-複合材質	外殼為塑膠（PP/AS）、過濾層含塑膠 PP 棉、活性碳、RO 膜等	"不須拆解-
過濾層：採多層材質，依序為PP棉、活性碳、RO膜
外殼：塑膠（PP、AS）"	正確分類			濾水器濾芯-一般垃圾		不可回收	3	不可回收		-	-	濾水器包含的結構複雜，中間可能使用了各種材料如活性碳、PP濾網等，這些物件材質複合、拆解困難，甚至使用後會吸附各種重金屬、髒污細菌與礦物質，所以即使外觀看起來只像是一條塑膠棒，使用後還是只能丟入一般垃圾處理，這聽起來是無法回收，但如果一支濾芯過濾的飲水可以超過3300罐瓶裝水的話也是功成身退呀！		148	C		唐老師的星座週運勢會漏掉你
免洗筷	Re-lab	竹筷、筷子	◯			◯	"封套-塑膠（PE）
筷子-竹"		"封套-塑膠（PE）
筷子-竹"	正確分類		自備環保餐具	"封套-一般垃圾
筷子-一般垃圾"		不可回收	1,2,3,6,7	不可回收		-	-	免洗筷可以回收嗎？坊間曾謠傳筷子尾端的刻痕數代表回收的次數，但謠言止於智者，生長快速、價錢便宜的竹子不會是刻意回收重複使用的資源。可是竹筷為了漂白定色常會以二氧化硫燻製，且加工製造的環境通常缺少滅菌的製程，免洗筷使用時溶出的物質不但影響風味更不利健康，建議平常自備環保餐具才是健康又衛生的選擇。		147	B		用免洗筷會被木屑刺到
優格杯	Re-lab	布丁杯	◯			◯	"封膜-複合材質
塑膠杯-塑膠（PS/PP）"	"封膜組成含塑膠（PET、 PA）、 鋁等
"	"封膜-採多層材質（含PET、 PA、 鋁等）
杯-塑膠（PS、PP）"	清洗、正確分類			"封膜-一般垃圾
塑膠杯-塑膠容器類"		部分可回收	1,2,3	"封膜-不可回收
杯-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	優格杯通常使用後經過清洗後，杯身可以跟其他塑膠一起回收，而複合材質又輕薄的封膜則該丟入一般垃圾。但回收後的塑膠通常會被降級成次等材料，並規定不可再製成食物容器，也就是：每個承裝食品的塑膠容器，都是用全新的石油製成的。		108	A		要吃優格時膜都撕不乾淨
小吃紙袋	Re-lab	雞排紙袋、紙袋、蔥油餅袋	◯			✕	小吃紙袋-紙		不需拆解-紙	正確分類		自備環保容器	小吃紙袋-一般垃圾		不可回收	1,2,3,6,7	不可回收		-	-	沾滿食物水份與油脂的炸雞紙袋回收效率差，就丟進一般垃圾一起燒毀吧！南無（合掌）許多人可能會有「紙比塑膠環保」的錯誤迷思，其實每一張紙其實都是砍伐林木、耗費許多能源與水製成。建議還是用減少垃圾的方式來吃垃圾食物吧（咦）		108	C		吐司掉地上時都是抹醬那面朝下
塑膠餐盒	Re-lab	塑膠盒、便當、外帶便當	◯	使用-民眾不知道如何回收		✕	塑膠餐盒-塑膠（PP）		不需拆解-塑膠（PP）	清洗、正確分類		自備環保容器	塑膠餐盒-塑膠容器類		可回收	1,2,3,6,7	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	塑膠餐盒在食用後常會沾上各種油與醬汁，先以衛生紙簡單擦拭後沖洗，來增加回收時的品質，後續這些 PP 材質的塑膠都可以交由清潔人員以廢塑膠容器回收的。		74	B		便當打開會都是滿滿三色豆
信用卡	Re-lab	金融卡、提款卡、悠遊卡	◯			✕	信用卡-塑膠（PVC）		不需拆解-塑膠（PVC）	正確分類			信用卡-一般垃圾		不可回收	5	不可回收		-	-	由 PVC 塑膠製成的信用卡雖然在塑膠分類中為編號 3，但材質經常添加可塑劑，內部可能也很有一些金屬或磁性物質，所以即使不再使用也因為回收程序困難無法再利用，基於資訊安全請把卡片剪掉之後直接丟到一般垃圾吧。		103	C		信用卡會被盜刷
披薩盒	Re-lab	pizza盒、比薩紙盒、外帶	◯			◯	"盒子-紙
防油隔熱紙-淋膜紙
固定架-塑膠"		"盒子-紙
防油隔熱紙-淋膜紙
固定架-塑膠"	清理、正確分類			"盒子-紙容器類
防油隔熱紙-一般垃圾
固定架-一般塑膠類"		部分可回收	1,2,3,6,7	"盒子-可回收
防油隔熱紙-不可回收
固定架-可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	與親朋好友們相聚時，你可能會叫幾盒香噴噴的披薩盒。但在杯盤狼藉之後，應該盡可能用餐具或紙巾刮下盒內剩餘的食物殘渣後，拆解攤平盒子後折疊集中，就可以以廢紙容器回收處理，而中間的三腳塑膠小支架擦去大多油份後也可與廢塑膠一同回收。	"油膩膩的可以嗎？
油膩的部分會在回收後處理"	112	A		披薩上面就會加鳳梨
水果網套	Re-lab	水果保護套、水果包裝、水蜜桃、水果防撞	◯			◯	"緩衝墊-塑膠（EPE/EPP/PS）
套袋-塑膠（PE）"		"緩衝墊-塑膠（EPE、EPP、 PS）
套袋-塑膠（PE）"	清理、正確分類			"緩衝墊-一般塑膠類
套袋-一般垃圾"		部分可回收	1,5	可回收	無資料	-	-	柔軟的水果常常會被套上各種顏色的發泡網套，以減少在運輸過程中碰撞造成的耗損，大家常常會將拆下的網套直接丟入一般垃圾桶中，但其實這些水果網套是可以完成簡單沖洗後收集回收的。如果數量太少可能會因為不符成本而不被特別回收，可以收集到一定的量之後再交由回收人員，或是寄給相關果農重複使用。		140	B		水果攤老闆會賣你比較貴
奶粉罐	Re-lab	營養品罐、幼兒食品	◯			◯	"蓋子-塑膠
鐵罐-馬口鐵"		"蓋子-塑膠
鐵罐-馬口鐵、鋁"	清洗、正確分類			"蓋子-一般塑膠類
鐵罐-廢鐵鋁容器"		可回收	2,3	"蓋子：可回收
罐子：可回收"	廢鐵鋁容器：45.79%	廢鐵容器：97.82%	廢鐵容器：97.82%	從嬰兒的奶粉到銀髮族的保健沖泡飲品，包裝很多會選用質輕的馬口鐵罐裝填，而鍍錫的主要目的是避免食品對馬口鐵的腐蝕。罐子的上方可能還有一個PP塑膠蓋，使用後經過沖洗後就分別可以廢鐵容器和塑膠回收囉。	L45 罐子不可回收？可以，我打錯，已改	97	A		吐司掉地上時都是抹醬那面朝下
打火機	Re-lab	賴打	◯			◯	"容器-塑膠
打火裝置-複合材質
燃料-碳氫化合物"	打火裝置包含塑膠及金屬	"容器-塑膠
打火裝置-塑膠、金屬
燃料-碳氫化合物"	排空內容物、正確分類	請朝逆風方向於空曠處排空內容物，勿以外力方式破壞	如果使用頻率高，建議使用可重複填裝的打火機	"容器-@打火裝置
打火裝置-一般垃圾
燃料-@打火裝置"		不可回收	1,5	不可回收：目前確認新竹縣不可回收		-	-	最常見的塑膠打火機在回收前應該將內容物用盡，如果仍有燃料殘留，需拿到空曠處排空後再進行回收，以保障清潔人員與系統的安全。但因為材質複雜，就無法回收了。在太平洋上的中途島，每年有許多信天翁誤食各種塑膠，包含打火機，選用可重複填充使用的打火機或許是一個永續環境的做法。		132	C		會錯過要等很久的那班公車
菸盒	Re-lab	煙盒、香菸盒	◯			◯	"封膜-塑膠（BOPP）
紙盒-紙
內紙襯-鋁、紙"		"封膜-塑膠（BOPP）
紙盒-紙
內紙襯-鋁紙"	分解零件、正確分類			"封膜-一般垃圾
紙盒-紙容器類
內紙襯-一般垃圾"		部分可回收	1,5,6	"封膜-可回收
紙盒-可回收
內紙襯-不可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	香菸盒由內層的紙盒、盒內襯的鋁紙，跟最外層的塑膠包裝膜組成，包裝膜應該丟入一般垃圾，紙類則可以回收。但是，濃縮了香菸內焦油與尼古丁的菸蒂不只不能回收，一旦流入下水道也會釋出到水體內，影響生物生存，所以記得菸頭也不要亂丟喔。		111	A		會錯過要等很久的那班公車
紙尿布	Re-lab	尿布、嬰兒	◯			◯	"親膚層-棉
吸水層-塑膠
防水層-塑膠"		"親膚層-棉
吸水層-塑膠
防水層-塑膠"	正確分類			"親膚層-@吸水層
吸水層-一般垃圾
防水層-@吸水層"		不可回收	2,5	不可回收		-	-	粗估從嬰兒新生到戒掉尿布大約會產生 5,000 片的紙尿布。能夠不滲漏的紙尿布當然不是紙做的，內層的親膚層是透氣的不織布，內部的吸收體包含了高分子吸水材質與棉狀紙漿，最外層則是防水的PE外層，沾污與難以拆解的複合材質讓紙尿布必須以一般垃圾處理。市面上也有可重複使用的布尿布，能跟紙尿布交替使用喔。		148	C	出生每天約需要六到七片、半歲到兩歲半之間一天大約需要四到五片，可能因為每個孩子的適應狀況不同，在完全戒斷尿布約半年的緩衝時間一天約需要三到四片紙尿布。粗略換算估計，一個新生兒到完全戒掉尿布大約會產生5000片的紙尿布	吐司掉地上時都是抹醬那面朝下
醫療口罩	Re-lab	口罩、拋棄式口罩、疫情、covid	◯			複雜	"過濾層-塑膠（PP等）
鼻樑壓條-鐵絲/鋁/塑膠（PE）
彈性繩-尼龍"		"過濾層-塑膠（PP等）
鼻樑壓條-鐵絲、 鋁、 塑膠（PE）
彈性繩-尼龍"	正確分類			"過濾層-一般垃圾
鼻樑壓條-@過濾層
彈性繩-@過濾層"		不可回收	1,2,5,6	不可回收		-	-	海邊很常撿到廢棄口罩，但當然不是叫大家源頭減量少用口罩，而是大家需要妥善處理、小心遺失，避免成為環保和防疫的破口。一片口罩是由數層功能不一的不織布、金屬片和尼龍彈性繩製成，因為材質多元、不易處理與防疫考量，使用完的口罩無法回收，請將口鼻接觸處向內折好丟到一般垃圾吧！		133	C		口罩繩子就會斷掉
馬桶刷	Re-lab	浴室刷	◯			◯	"柄-塑膠（ABS/PP）
收納盒-塑膠（ABS/PP）
刷毛-塑膠"		"柄-塑膠（ABS、PP）
收納盒-塑膠（ABS、PP）
刷毛-塑膠"	正確分類			"柄-一般垃圾
收納盒-一般垃圾
刷毛-@柄"		不可回收	2,4	不可回收：新北市有明確提出不可回收，其餘縣市無說明		-	-	馬桶刷雖然全部都是塑膠製成，但因為材質不單一，且設計百百種。在新北市出版的垃圾分類手冊中被列為不可回收項目，使用後請丟入一般垃圾中處理。		68	C	https://www.epd.ntpc.gov.tw/UploadFile/DownloadArea/20190626145034600896.pdf	拉肚子會找不到衛生紙
立可帶	Re-lab	修正帶	◯			複雜	"滾筒-鐵
外殼-塑膠
彈簧-鐵"		"鐵滾筒-鐵
外殼-塑膠
彈簧-鐵"	分解零件、正確分類		使用可替換內芯的立可帶	"滾筒-一般垃圾
外殼-一般塑膠類
彈簧-一般垃圾"		部分可回收	5,6	可回收	無資料	-	-	由金屬滾筒、塑膠外殼、金屬彈簧組合成的立可帶，在使用完後，盡可能將金屬部份拆解下來另外回收，剩下的塑膠材質就可以與一般塑膠一起回收了。但塑膠回收後通常只能被降為次等材料，建議盡可能購買可更換替芯的立可帶。		102	C		原子筆寫沒兩次就會斷水
原子筆	Re-lab	筆	◯			◯	"筆管-塑膠
筆芯-塑膠
筆蓋-塑膠"		"筆管-塑膠
筆芯-塑膠
筆蓋-塑膠"	分解零件、正確分類		使用可替換內芯的原子筆	"筆管-一般塑膠類
筆芯-一般垃圾
筆蓋-一般塑膠類"	"可整體回收：台北市、新北市
但其餘縣市於一般塑膠類僅公告塑膠管。"	部分可回收	2,5,6	"筆管-可回收
筆芯-不可回收
筆蓋-可回收
可整體回收：台北市、新北市，有明確公告可回收。
但其餘縣市於一般塑膠類僅公告塑膠管。"	無資料	-	-	原子筆種類千百種，雖然沒辦法一言以蔽之說明怎麼回收，但硬塑膠的筆管跟筆蓋可以一般塑膠一起回收，但含有墨水與金屬筆頭的的筆管則需要從筆身拆下後丟到一般垃圾處理。但比起做好分類回收，盡可能先把家中免費得到的各種筆完、減少購買新的筆才是更環保的選擇啦！		123	B		原子筆寫沒兩次就會斷水
鉛筆	Re-lab	筆	◯			◯	鉛筆-石墨、木頭		不須拆解-石墨、木	正確分類			鉛筆-一般垃圾		不可回收	2,5,6	不可回收		-	-	雖然自動鉛筆的發明讓鉛筆不再是書寫的唯一選擇，但是無論是對初習字的學童或是繪畫創作者，鉛筆還是佔有不敗的一席之地。隨著時代的演變，鉛筆已經不含鉛，而是由木頭包裹石墨條製成。無論是削下來的鉛筆屑還是整支的筆都不能回收，直接丟進一般垃圾掩埋或燒毀吧。		123	B		鉛筆寫沒兩次就斷芯
牙刷	Re-lab	-	◯			◯	"刷毛-塑膠（PA）
刷柄-塑膠（PP等）"		"刷毛-塑膠（PA）
刷柄-塑膠（PP等）"	正確分類		使用竹柄的牙刷	"刷毛-@刷柄
刷柄-一般垃圾"		不可回收	4	不可回收		-	-	為牙刷廠商百家爭鳴開發出各種刷頭、刷毛設計，搭配各式的握柄，來因應消費者多樣的口腔清潔需求。但也因此牙刷的材質多元，複合材質無法被回收，只能以一般垃圾丟棄。如果想減少塑膠的使用，可改選購木竹製的牙刷，出遊時避免使用飯店提供的，使用年限較短的拋棄式牙刷。	"為什麼牙刷不能回收呢？
因為裡面屬於複合材質，非單一材質"	126	C		洗臉的時候會擠到牙膏
牙膏		-	◯			◯	"包裝軟管-塑膠（PE）
牙膏-牙膏
瓶蓋-塑膠（PP/PE）"		"包裝軟管-塑膠（PE）
殘留的牙膏-牙膏
瓶蓋-塑膠（PP、PE）"	分解零件、正確分類	將內容物清空，瓶蓋鎖緊		"包裝軟管-塑膠容器類
瓶蓋-塑膠容器類
牙膏-一般垃圾"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	國家地理頻道的統計，人的一生中會消耗掉將近300條牙膏。那使用後的牙膏該怎處理好呢？先再將管身剪開後用盡剩餘的牙膏，以清水清洗管身與蓋子後，就可以跟廢塑膠容器一起回收囉。雖然有廠商開始研發口腔清潔錠來取代牙膏，但距離普及可能還有一段時間，在這之前先一起好好回收牙膏容器吧！		136	B	"https://www.hsingchan.com.tw/product02.html

https://hwms.epa.gov.tw/dispPageBox/pubweb/pubwebCP.aspx?ddsPageID=RESOURCEANDRESOURCES&&dbid=3470362084"	洗臉的時候會擠到牙膏
透明雞蛋盒	RE-THINK	蛋盒	◯			◯	"盒體-塑膠（PET/PLA）
腰封-紙"		"盒體-塑膠（PET、PLA）、紙
腰封-紙"	清理、正確分類		可改去傳統市場等地購買無包裝食品	"盒體-塑膠容器類
腰封-廢紙類"		可回收	3,7	"盒體-可回收
腰封-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	魔鬼藏在細節裡，看起來單純的塑膠蛋盒其實材質很多種，比方有 PVC、PET、PLA 等。雖然這些材質都是丟入資源回收，但可生物分解的 PLA 因為在台灣沒有處理系統，只能被挑出後進入焚化處理。		96	B		打蛋時蛋殼會跑進去
透明塑膠袋	RE-THINK	提袋、塑膠袋	◯			✕	透明塑膠袋-塑膠（PE/PP）		不需拆解-塑膠（PE、PP ）	清理、正確分類		自備購物袋	透明塑膠袋-一般塑膠類		可回收	1,2,3,4,5,6,7	透明且材質單一可以回收	無資料	-	-	塑膠袋是我們生活中最頻繁被使用到的塑膠類型，但其實不是所有塑膠袋都能回收喔！回收心法就是：「透明、材質單一、外觀乾淨」，回收前確認乾淨，如外裝有貼紙就撕去，即可回收。反之，不透明、髒髒的塑膠袋則不可回收，也就是說，不可回收的塑膠袋還真不少啊。	"塑膠袋是有在回收，但回收率？（很多民眾反應，清潔隊根本直接丟一般垃圾）
塑膠袋的部分是可以回收的，但需要單一且透明的塑膠袋（https://hwms.epa.gov.tw/dispPageBox/pubweb/pubwebCP.aspx?ddsPageID=RESOURCEANDRESOURCES&&dbid=4098713924）"	121	A		便當打開會都是滿滿三色豆
薄塑膠盒	RE-THINK	小菜盒、菜市場塑膠盒	◯			✕	薄塑膠盒-塑膠（PE、PP）		不須拆解-塑膠（PE、PP ）	清理、正確分類		自備環保容器	薄塑膠盒-一般塑膠類		可回收	3,7	透明且材質單一可以回收	無資料	-	-	逛菜市場時常看到各種炸物、涼拌菜和甘蔗雞整齊陳列販售著，油潤鮮香在透明的包裝中一覽無遺。材質單純的塑膠盒能以一般塑膠類回收，但記得先倒掉湯汁洗去油脂。但據報導，這類的柏塑膠，有些也標示不清、材質不明，造成後續回收不易。如果可以，還是自備容器去購物吧！	文案好像有點衝突	125	C	"聽說薄片塑膠的回收率頗低?

翎：https://www.dep.gov.taipei/News_Content.aspx?n=CB6D5C560DE4D2DD&sms=72544237BBE4C5F6&s=D4A97ED3060003A0"	機車籃會被人家放垃圾
罐裝洋芋片		品客、零食	◯			◯	"蓋子-塑膠
瓶身-鋁箔+紙
底座-鋁"		"蓋子-塑膠
瓶身-鋁箔+紙
底座-鋁"	清理、分解零件、正確分類	底座連同瓶身回收即可，不需另外拆開		"蓋子-一般塑膠類
瓶身-紙容器
底座-金屬類"		可回收	2,5,6	"蓋子-可回收
瓶身+底座-可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	目前已經有可以將鋁箔與紙類分離的技術，所以將內部的餅乾屑吃完或倒掉，將塑膠的上蓋移除。至於鋁製底座難以拆卸下來，就連同罐子一起回收處理吧！		69	B		打開洋芋片都會碎掉
袋裝洋芋片	RE-THINK	零食	◯			◯	袋裝洋芋片-複合材質	含塑膠（PET、PE）、鋁等	袋子- 多層材質（含PET、PE、鋁等）	正確分類			袋裝洋芋片-一般垃圾		不可回收	2,3	不可回收		-	-	包裝洋芋片為了遮光與防潮以維持食物品質，會在塑膠膜中複合一層鋁箔來組隔光線造成的氧化（冷知識：很貴的空氣也是為了防撞）。但這樣的包裝材質難以被分離，無法回收處理的末路就是只能丟入一般垃圾了。		95	C		打開洋芋片都會碎掉
化妝品瓶罐	RE-THINK	化妝品、保養品	◯	使用-民眾不知道如何回收	處理-組成物品的材質複雜	◯	"瓶身-玻璃
瓶蓋-塑膠（PP/PE）"		"瓶身：玻璃
瓶蓋：塑膠（PP、PE）"	清洗、分解零件			"瓶身-玻璃容器類
瓶蓋-一般塑膠類"		可回收	5	"瓶身：可回收
瓶蓋：可回收"	無資料	-	-	化妝台是否永遠缺一罐最新上市的化妝品呢？但同時閒置已久的化妝品已經在一旁長灰塵了？在使用後，比較恰當的處理方式是將有化學物質的化妝品倒入塑膠袋內作為「一般垃圾」丟棄、避免水源污染，容器拿去回收之前記得沖洗乾淨後以塑膠容器回收，也可捐給社福團體讓有需要的人繼續延續這些化妝品的價值。		140	B		眼影會在最後一刻畫歪
電子發票	RE-THINK	感熱紙發票	◯	使用-民眾不知道如何回收		✕	電子發票-複合材質	含隱性染料、發展劑、均勻色料的敏化劑、穩定劑、防水塗層、紙	不須拆解-含隱性染料、發展劑、均勻色料的敏化劑、穩定劑、防水塗層、紙	正確分類		申請電子載具	電子發票-一般垃圾		不可回收	1,5,6	不可回收		-	-	根據財政部統計數據，電子發票在 2019 年發行達 75 億張，而其中有接近 60 億被實體印出，但這些用感熱紙印製的發票會添加各種化學物質，所以這些似紙非紙的電子發票其實是不能夠回收的。建議可以使用電子載具，環保又可以省下對發票的時間。但是長條的一般紙本發票對獎完倒是要記得紙類回收喔！		144	C	根據財政部統計數據，電子發票在2016年發行達55億張，而其中有八成被印製成實體發票，但這些用感熱紙印製的發票為了達到防水、防油、防熱等效果，會添加隱性染料、發展劑、均勻色料的敏化劑等化學物質，	店員存載具都會失敗
廢棄藥品	RE-THINK	藥品、藥粉、藥	◯	使用-民眾不知道如何回收		◯	"鋁片-鋁
塑膠包裝-塑膠
藥品-藥"		"外包裝-採多層材質（含鋁、塑膠）
藥品"	正確分類	將剩餘的錠劑、膠囊從包裝中取出，並集中在夾鏈袋中密封，丟到一般垃圾		"鋁片-一般垃圾
塑膠包裝-一般垃圾
藥品-一般垃圾"		不可回收	5	不可回收		-	-	藥治好你的病，但隨意丟棄剩下的藥或沖入馬桶，就換地球生病了。藥水應倒入夾鏈袋，以少量清水沖洗藥水罐後將水也倒入夾鏈袋中；如果是錠劑或膠囊則從包裝中取出集中，以夾鏈袋密封丟到一般垃圾。剩下的空罐可回收，鋁箔藥錠包裝與膠囊則丟入一般垃圾。如果是抗生素、賀爾蒙或其他特殊藥劑，要交給原領藥機構處理。		146	C		看電影都會被後面的人踢椅背
膠囊咖啡	RE-THINK		◯	使用-回收前需要分離/沖洗	使用-民眾不知道如何回收	複雜	"封膜-複合材質
外殼-塑膠（PP）
內部濾網-鋁"	"封膜含鋁、塑膠
部分膠囊外殼為鋁製"	"封膜：塑膠
外殼：塑膠（PP）、 鋁（雀巢高級咖啡才有）
內部濾網：鋁"	正確分類	成本耗費高，願意處理的業者並不多，目前能被回收的膠囊咖啡其實很少，大多只能做為一般垃圾處理。	改買整包咖啡豆自己磨	"封膜-一般垃圾
外殼-塑膠容器類
內部濾網-一般垃圾"		不可回收	3	"封膜：不可回收
外殼：可回收
內部濾網：不可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	膠囊咖啡雖然方便又快速，但在方便的背後卻會製造大量的垃圾，連膠囊咖啡的發明者約翰・希爾文（John Sylvan）都表示超後悔發明這項產品。這些容器的回收成本高，願意花心力成本處理的業者極少，大多只能做為一般垃圾處理，盡可能帶環保杯去購買或是自己沖泡，才是更環保、省錢又有生活趣味的選擇喔。	"政府有公告可回收嗎？或者是要給業者回收？Nexpresso的號稱全鋁？
沒有公告回收，有部分業者有自行回收（如：Nexpresso）"	145	C	沒有公告可回收，部分業者（如：Nespresso）有自行回收管道	吐司掉地上時都是抹醬那面朝下
隱形眼鏡	RE-THINK	日拋、週拋、月拋	◯	使用-民眾不知道如何回收		◯	"封膜-複合材質
塑膠容器-塑膠（PP）
鏡片-複合材質"	"封膜含鋁、塑膠
鏡片材質包含壓克力、矽氧樹脂、含氟聚合物"	"外盒：紙
盛裝容器：鋁、塑膠
鏡片：玻璃、塑膠

https://www.medpartner.club/contact-lenses-recycling-scheme/
https://hwms.epa.gov.tw/dispPageBox/pubweb/pubwebCP.aspx?ddsPageID=INFORMATION&dbid=409871772"	分解零件、正確分類			"封膜-一般垃圾
塑膠容器-一般塑膠類
鏡片-一般垃圾"		部分可回收	5	"上蓋：不可回收
塑膠托盤：可回收
鏡片：不可回收"	無資料	-	-	複合金屬的塑膠膜回收不易，應丟入一般垃圾，裝隱形眼鏡的容器可以一般塑膠回收。那隱形眼鏡的本體呢？由矽水膠製成的隱形眼鏡體積小、材質不容易回收，應以一般垃圾直接處理，別隨手丟進馬桶沖掉喔！改選擇月拋或季拋的隱形眼鏡，清潔保養可能相對麻煩，但可以減少很多一次性的垃圾喔！		133	C		一戴隱形眼鏡就會掉到洗手台
玩具	RE-THINK	玩具、模型、鋼彈	◯			◯	玩具-複合材質	含塑膠、木頭、鐵等	"不須拆解-
可能涵蓋材質（依玩具組成）：塑膠、鐵、不鏽鋼、橡膠、木頭"	正確分類		挑選可玩性高、可重複玩的玩具	玩具-一般垃圾		不可回收	5	不可回收		-	-	玩具百百種，通常會為了更多樣的顏色而添加許多的重金屬著色定色，或是製壓特殊的造型而加入塑化劑，這些玩具雖然材質是塑膠，但無法被有效回收，只能以一般垃圾處理。但丟棄前可以讓孩子將不再玩的玩具跟其他孩子分享或交換，可以減少孩子一下就玩膩了而吵著買新玩具，既環保又能結交好朋友呢！		137	C	（靠文案引導, 不建議自行拆解做材料回收，但是盡可能二手利用）	就會踩到樂高
