品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質（for網站）	材質備註	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理步驟備註	使用建議（替代方案）	處理後應該丟哪一類?	處理備註	回收狀況	使用場域	各縣市回收狀況	回收率	資源化比例	資源化比例	文案	內容撰寫QA（vs. REnato）	字數統計	標籤	補充說明	祝福文案	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
鋁箔包	RE-THINK	利樂包、麥香、紅茶、綠茶、豆漿	◯			◯	"鋁箔包-複合材質（含紙、塑膠（PE）、鋁）
吸管-塑膠（PP/PE）
吸管套-塑膠（PP/PE）"		"鋁箔包：採多層材質（含紙、塑膠（PE）、鋁）
吸管：塑膠（PP、PE）
吸管套：塑膠（LDPE）"	分解零件、壓扁或攤平、正確分類			"鋁箔包-廢鋁箔包
吸管-一般垃圾
吸管套-一般垃圾"		部分可回收	1,2,6	"鋁箔包-可回收
吸管-參考23項次"	廢鋁箔包：59.65%	廢鋁箔包：97.91%	廢鋁箔包：97.91%	看似紙質的包裝裡夾層裡，有鋁箔之稱但其實鋁只佔整體包材的5%。為阻止氣體流通、隔離光線並延緩氧化，鋁箔跟飲料之間還隔著兩層塑膠。這個有紙、有塑膠膜又有鋁金屬的容器在回收時不屬於任何一方，而是獨立出來的廢鋁箔包類，因為需要在特別的工廠以特殊的工法將這些材質分離才能回收，所以一定要清洗壓扁後集中回收喔。		150	A		買鋁箔包都會沒附吸管
油漆桶		油漆	◯			◯	"油漆-油漆
油漆桶-鐵/鋁"		"油漆
油漆桶：鐵鋁、塑膠"	清洗、正確分類			"油漆-一般垃圾
油漆桶-廢鐵鋁容器"		可回收	5	可回收	廢鐵鋁容器：45.79%			塗刷完牆壁後難免會有油漆剩下，那麼剩下的油漆應該怎麼處理才對呢？首先應該先用報紙或破布將桶子中的油漆盡可能吸乾後丟入一般垃圾處理，依據空桶材質就可以交由回收人員回收囉。		84	A		就會坐到油漆未乾的椅子
補充包		補充包、沐浴乳、洗髮精、洗碗精、洗衣精	◯			◯	補充包-複合材質	含塑膠（PET、ONY、PE）	不須拆解-採多層材質（可能含PET、ONY、PE）	清洗、正確分類			補充包-一般垃圾		不可回收	5	不可回收				為了取代瓶罐、利於站立陳列，並達到遮光、耐磨、阻隔水分與空氣的效果，各種補充包材質會使用不同的塑膠，但也因此這樣的複合材質分解處理困難而無法回收。所以環保補充包真的環保嗎？其實沒有標準答案。國內外現在有部分業界嘗試建立自家產品容器的重複裝填回收系統，創造更永續的選擇喔。		135	C	http://ge-sen.com.tw/products_con.php?idept=6&pk=145	倒補充包的時候都會滴出來
高壓瓶	RE-THINK	噴霧罐、髮膠、殺蟲劑	◯			◯	"高壓瓶-鐵/鋁
瓶蓋-塑膠"		"不需拆解-鐵、鋁
瓶蓋-塑膠（PP、PE）"	排空內容物、正確分類	請朝逆風方向於空曠處排空內容物，勿以外力方式破壞		"高壓瓶-廢鐵鋁容器
瓶蓋-一般塑膠類"		不可回收	3,4,5	可回收	廢鐵鋁容器：45.79%	"廢鐵容器：97.82%
廢鋁容器：99.51%"	"廢鐵容器：97.82%
廢鋁容器：99.51%"	卡式瓦斯、殺蟲劑、噴漆等填入高壓的液體，回收前應確保內部填充物都已經排出，如果還有殘餘，應該帶到至空曠處並朝逆風方向將內容物排出，噴漆噴至廢布內後丟至一般垃圾，而且排出時不可敲打、壓扁、打洞或用火燒烤，應直接用原設計的噴口排出，否則很可能產生火花而爆炸。	https://www.dep.gov.taipei/News_Content.aspx?n=CB6D5C560DE4D2DD&sms=72544237BBE4C5F6&s=4D88A8815F80EA22	127	A		眼影會在最後一刻畫歪
旅行行李箱	RE-THINK	行李箱	◯	使用-民眾不知道如何回收		複雜	"拉桿-金屬/塑膠
箱體-布面/鋁鎂合金/塑膠
滑輪-塑膠"		"拉桿-金屬、 塑膠
箱體-布面 、鋁鎂合金 、塑膠（ABS、 PP等）
滑輪-塑膠"	正確分類			"拉桿-@箱體
箱體-部分縣市|可回收
滑輪-@箱體"	可回收縣市：台北市、新竹市、桃園市	其他	5	可回收縣市：台北市、新竹市、桃園市	無資料	-	-	台北市、新竹市、桃園市目前已公告行李箱可以直接回收，但其他城市則需要自行拆解回收後，依據材質種類將塑膠與金屬部分分開回收。但丟掉以前別忘記確認裡面藏的私房錢沒有忘記拿出來嘿！（如果有很多個行李箱要處理，需要先聯繫相關單位以大型垃圾處理喔）		119	B		出門都會忘記帶行動電源
奶油球	REnato lab	糖漿球、咖啡奶油球	◯	使用-民眾不知道如何回收	使用-回收前需要分離/沖洗	◯	"封膜-複合材質
奶油容器-塑膠"	封膜含塑膠（PET、PE）、鋁等	"封膜-採多層材質（含PET、鋁、PE等）
杯（小）-塑膠"	撕除封膜、正確分類			"封膜-一般垃圾
奶油容器-塑膠容器類"		部分可回收	1,3,7	"封膜-不可回收
杯（小）-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	上方含有少量金屬的塑膠膜以一般垃圾處理，下方的塑膠杯簡單沖洗後就可以廢塑膠回收。同理，糖漿球也比照處理。冷知識：其實多數的奶油球其實成分是氫化的植物油，除了不含奶的成分外，就健康角度也不一定是個好選擇，改購買大包裝的鮮乳還相對健康呢！		117	C		吐司掉地上時都是抹醬那面朝下
網購破壞袋	REnato lab	網購袋、網購包裝、Pchome、Momo、網路購物	◯			◯	"袋子-塑膠（PE）、
膠條-塑膠（PET/PVC）"		"袋子-塑膠（PE）、
膠帶-塑膠（PET、PVC等）"	正確分類			"袋子-一般垃圾
膠條-一般垃圾"		不可回收	2,3,5,6	不可回收	無資料	-	-	雙十一、黑色星期五，你購物了嗎？網購越發達，隨之垃圾量也以驚人的幅度成長。網購用的破壞袋通常會做成不透光的材質來避免包裝透出商品資訊而影響消費者的隱私，但混入染料的膜狀塑膠通常回收效率不佳，使用後只能丟入一般垃圾中。消費前區分想要、需要還是必要來延緩衝動購物才是環保省錢之道。	屬於複合性材料，無法回收	138	C		網購會一直寄錯超商
環保袋	REnato lab	購物袋	◯			◯	"袋子-塑膠（PE/PLA）
鈕扣-塑膠"		"袋子-塑膠（PE、 PLA等）
紐扣-塑膠"	分解零件、正確分類			"袋子-一般塑膠類
鈕扣-一般塑膠類"		可回收	1,2,3,4,5,6	可回收	無資料	-	-	你有想過「袋子就袋子，為什麼叫做環保袋」嗎？這年頭到處都說要環保，所以各個公部門、商家都開始贈送或販售輕薄的環保購物袋，你家中可能就累積了超過20個環保袋。這些環保袋的末路多半只能丟入一般垃圾。在製造的過程中也可能創造出比塑膠袋更多的環境污染，所以環保袋還是要選擇耐用，且真的要用很久，才是真環保喔。	"一般那種不織布的環保袋可以回收嗎？
不可回收，但有很多縣市有在做二次袋循環"	150	C		菜販老闆會算你比較貴
產品外包裝	REnato lab	外包裝	◯			◯	"紙盒-紙
塑膠膜-塑膠（PET）"		"紙盒-紙
塑膠膜-塑膠（PET）"	分解零件、正確分類			"紙盒-廢紙類
塑膠膜-一般垃圾"		部分可回收	3	不可回收		-	-	產品包裝百百種，最常見的是紙盒再加上外頭的塑膠封膜，紙盒可以回收，但是外頭的塑膠膜則無法。如果想要減少過度包裝產品而製造的垃圾，可以挑選包裝更簡潔或裸裝的產品，畢竟真的會陪伴著你一起生活、讓你感到滿足的大概都不是這些包裝吧？	"一般的塑膠膜（例如新手機、喜餅外包裝、新家電等）是否都不可回收？
不可回收，參考環保署及環保局公告保鮮膜不可回收的。我覺得這個需要討論一下"	112	C		同事揪吃飯都會忘記找你
衣物	問卷	衣服、外套、褲子	◯			✕	衣物-複合材質		不須拆解-尼龍、動物毛...	正確分類	區分乾淨舊衣物及破損舊衣物		衣物-舊衣回收箱		可回收	5	"乾淨舊衣物-可回收
破損舊衣物-不可回收，一般垃圾"	無資料	-	-	你是不是家中衣櫃永遠少一件？每到換季或新年就要買新衣嗎？從原物料生產、紡織品製造、服裝設計、運輸、零售等環節，時尚產業在每個環節中都會產生驚人的碳排放並污染水源土壤。雖然乾淨的衣服可以集中回收，但髒污破損的衣服只能以一般垃圾處理。在每個購買與丟棄前請想想，你真的少一件衣服嗎？		138	C	https://www.gvm.com.tw/article/36959	衣服都會穿反邊
生廚餘	問卷	廚餘、剩食	◯			✕	生廚餘-菜葉、果皮等		如菜葉、果皮等	正確分類	建議用「是否不適合豬隻食用」來判斷		生廚餘-生廚餘類		可回收	1,3,6,7	可回收	無資料	-	-	生菜葉、果皮、茶渣、貝殼、果核、落葉、花材等生廚餘經回收後通常會堆肥處理。丟到一般垃圾就資源錯置，而且可能造成焚化爐的負擔。目前建議丟棄前可以先參考地方公布回收訊息，因為處理方式會因各地處理設施不同而調整喔！		104	A		吐司掉地上時都是抹醬那面朝下
熟廚餘	問卷	廚餘、剩食	◯			✕	熟廚餘-剩飯殘羹等		經烹煮後的剩飯殘羹等	正確分類	建議用「是否適合豬隻食用」來判斷		熟廚餘-熟廚餘類		可回收	1,3,6,7	可回收	無資料	-	-	一般家庭的剩菜剩飯、魚、蝦、肉類或熟食等適合豬隻食用者以熟廚餘處理，經過加熱混合後就會製成養豬的飼料，所以不要將筷子、紙巾等非廚餘的雜物混入，多餘的湯湯水水要倒掉後再丟棄，更別直接丟入一般垃圾。目前建議丟棄前可以先參考地方公布回收訊息，因為處理方式會因各地處理設施不同而調整喔！		139	A		吐司掉地上時都是抹醬那面朝下
充電線	問卷	電線、iphone電線、手機電線	◯			✕	充電線-複合材質	含塑膠（PVC）、鋁、鐵、銅絲	不須拆解-含塑膠（PVC）、鋁、鐵、銅絲	正確分類			充電線-其他資源物		可回收	5	可回收	無資料	-	-	環保署在2008年10月已將手機充電器納入回收項目。家中如果有不要的手機充電器不可混入一般垃圾，必須分類為「回收資源」並交由清潔隊資源回收。若經清潔隊勸導後仍執意丟入垃圾車中，還會被處罰鍰，為了環保與錢包，無論是充電器還是充電線，都請一起做好回收吧！		125	B		手機會自體墜樓
瓷器	問卷	瓷	◯			✕	瓷器-陶瓷		不須拆解-陶瓷	包好、正確分類			瓷器-一般垃圾		不可回收	3,5,6	不可回收		-	-	雖然玻璃可以回收已經是深植在台灣人們心中的常識，但材質稍微相仿的瓷器其實是不能回收的材質。盡可能發揮創造力重複運用，延長它的價值，轉贈給需要的人或拿來種花、當收納小物可能都很棒。如果真的不再需要，請用報紙充分包裹後丟入一般垃圾中處理。		117	C		看電影都會被後面的人踢椅背
棉被枕頭	問卷	寢具	◯			✕	棉被枕頭-棉花、聚酯纖維		"不需拆解
枕頭內襯-棉花、
枕頭布-聚酯纖維、棉布"	正確分類			棉被枕頭-一般垃圾		不可回收	5	不可回收		-	-	因為乾淨的舊衣物因為可以回收，所以常讓人誤會棉被枕頭也可以，但目前是沒有在回收的。丟棄前可以先聯繫社會福利單位或流浪動物、野生動物照護單位，或許就能讓你的舊被子延續價值、照顧到更多的生命呢！		95	C		衣服都會穿反邊
木製品	問卷	木椅、木頭	◯			✕	木製品-木材		不須拆解-木材	正確分類			木製品-一般垃圾		不可回收	5,6	不可回收		-	-	不管是小朋友的積木、家中的木竹雕像擺飾，或是居家裝潢拆下的木頭隔間或傢俱零件，這些木製品因為回收再生困難，都無法被回收再利用，只能丟進一般垃圾，或聯繫大型廢棄物清運單位處理。但網路上有不少木製材料交換交流的社群，可以上網轉贈，或參考他們的 DIY 創意自己動手做，延續這些木材的價值。		142	B		腳的小拇指會踢到桌腳
鋁箔紙	問卷	鋁箔	◯			✕	鋁箔紙-鋁		不須拆解-鋁	正確分類			鋁箔紙-一般垃圾		不可回收	1,3	不可回收		-	-	為了避免燒焦、或想要保持蔬菜的濕潤口感，相信你會在烤肉時用鋁箔紙包裹調理，但使用後你會怎麼處理呢？薄薄的鋁箔紙雖然材質單純，但在使用後通常污損嚴重無法回收，只能丟入一般垃圾中處理了。		91	C		老闆會忘記你不要加香菜
洋蔥網袋	問卷	網袋、蒜頭網袋	◯			◯	"洋蔥網袋-塑膠（PET、PE）
"		不須拆解-塑膠（PET、PE）	正確分類			洋蔥網袋-一般塑膠類		可回收	3	可回收	無資料	-	-	由聚酯纖維製成的洋蔥網袋，只要確實將金屬釦環去除後就能與一般塑膠一同回收。但洋蔥網袋的用途多多，不論是拿來保存其他根莖類蔬菜、作為環保袋，或是帶到海邊淨灘撿垃圾時都非常方便。比起直接回收處理，運用小小智慧就能發揮更多的功用喔！	"回收率高嗎？
這個沒有實際數據"	113	B		菜販老闆會算你比較貴
光碟	問卷	光碟片、CD、DVD、VCD	◯			◯	光碟-金屬、塑膠片（PC）		不須拆解-含反射層金屬、光碟片基材塑膠片（PC）	正確分類			光碟-其他資源物		可回收	2,5,6	可回收	無資料	-	-	由 PC 塑膠製成的 CD 光碟片隨著雲端網路的發展逐漸式微，但無論是書刊的附件，或是各種3C產品購買時附上的驅動程式，甚至是高中時跟同學朋友偷偷交流謎片（？），大掃除時不難在家中各角落發現這些廢棄的光碟片。可以帶到便利超商交由門市人員秤重回收，還能折抵優惠呢。		131	A		光碟都會被刮傷
絨毛玩偶	問卷	玩偶、夾娃娃機	◯			✕	絨毛玩偶-棉花、纖維布		不須拆解-棉花、纖維布	正確分類			絨毛玩偶-一般垃圾		不可回收	5	不可回收		-	-	近年夾娃娃機似乎又再度風行，放學下班總讓不少人駐足瞻望有什麼吸睛的新貨。看似小硬幣就可以搏大獎，10 元在手希望無窮。絨毛玩偶裡面塞的多半都是聚酯纖維的塑膠填充物，無法被回收，只能丟進一般垃圾處理，或清洗後看相關社福團體是否有需要。		116	C		夾娃娃都夾不到想要的
鞋	問卷	鞋子、跑鞋、籃球鞋	◯			✕	鞋-複合材質		"不須拆解-
鞋底：橡膠、PU、熱塑性彈性體（ TPR、TPU）、塑膠（ EVA、 PVC）
鞋面：皮革、麂皮、合成皮（棉布、聚酯纖維、榔皮、複合皮）、布料（麻、棉、聚脂纖維）
"	正確分類			鞋-一般垃圾		不可回收	5	不可回收		-	-	不只有衣櫃，你的鞋櫃是不是也永遠缺一雙鞋呢？但一雙鞋你會穿多久呢？面料材質多元甚至複合各種材質鞋底的鞋子，很可惜的不能夠被回收，只能以一般垃圾丟棄處理。買一雙新鞋前想想，是不是已經有類似的可以物盡其用。		101	C		走路都會踩到口香糖
瑜珈墊	問卷	軟墊	◯			✕	瑜珈墊-塑膠（PVC）/|熱塑性彈性體（TPE）/橡膠		不須拆解-塑膠（PVC）、熱塑性彈性體（TPE）、橡膠	正確分類			瑜珈墊-一般垃圾		不可回收	5	不可回收		-	-	近年瑜珈風潮也帶動了周邊產品的製造。目前市佔率最高的瑜珈墊材質是分類代碼3號的 PVC 塑膠，經常會添加塑化劑讓產品更佳的柔軟，也因此讓回收困難。如果損壞不再使用，只能以一般垃圾丟棄。近年也開始有其他替代材質的瑜珈墊問世，但可能還是要先確認一下是什麼材質。		128	B		瑜珈老師都不給你大休息
衛生紙包裝	問卷	衛生紙塑膠包裝、抽取式衛生紙	◯			✕	衛生紙包裝-塑膠（PE/PP）		不須拆解-塑膠（PE、PP）	正確分類			衛生紙包裝-一般塑膠類		可回收	5,6	可回收	無資料	-	-	抽取式衛生紙用完後，包裝你是不是想說無法回收，可以直接丟入一般垃圾就好？敢按呢？以 PP 塑膠膜製成的抽取式衛生紙材質單純、髒污少，其實是可以回收的，下次衛生紙用完後可別直接丟入一般垃圾中呀。		96	A		鼻子過敏時會找不到衛生紙
耳機	問卷		◯			◯	耳機-複合材質		不須拆解-含矽膠、聚氨酯、銅線、銀線、PVC、TPE	正確分類			耳機-其他資源物		可回收	5	可回收	無資料	-	-	換成無線耳機後，你的有線耳機就在抽屜裡長灰塵嗎？如果不再需要或壞掉，先不要丟到垃圾桶！環保署已與15家通訊業者合作，無論有線無線，只要在貼有手機回收宣導標誌的門市就可將耳機拿去回收囉。		92	B		藍牙耳機會掉一個
帳單信封	問卷	信封袋	◯			◯	"信封紙袋-紙
塑膠膜-塑膠（BOPP）"		"信封紙袋：紙
塑膠膜：塑膠（BOPP）"	分解零件、正確分類			"信封紙袋-廢紙類
塑膠膜-一般垃圾"		部分可回收	2,5,6	"信封紙袋：可回收
塑膠膜：不可回收"	無資料	-	-	紙製的信封與內裝的信件或廣告請記得以紙類回收，並在回收前盡可能將方便查看收件人資訊而黏附的薄塑膠膜拆下丟下一般垃圾桶。隨著科技越來越進步，其實帳單很多都已經電子化，申請線上繳款快速方便又環保，有些還能有手續費優惠呢！		108	A		帳單都會遲繳
橡皮筋	問卷	樹奶	◯			✕	橡皮筋-橡膠		不須拆解-橡膠	正確分類			橡皮筋-一般垃圾		不可回收	1,2,3,6	不可回收		-	-	每當學校或公司叫便當來吃時，大概都會製造很多條橡皮筋。這些橡皮筋不能被回收，只能以一般垃圾丟棄，但即使如此橡皮筋也不要拿來射同學，會成為變相的亂丟垃圾。可以收集乾淨的橡皮筋再交給便當店老闆，讓一次性的橡皮筋重複使用更環保。		111	C		用橡皮筋的時候都會斷掉
不織布提袋	問卷	超商外帶提袋	◯			✕	不織布提袋-塑膠（PP等）		不須拆解-塑膠（PP等）	正確分類		自備環保袋	不織布提袋-一般垃圾		不可回收	1,6	不可回收		-	-	民國91年，環保署推動購物用塑膠袋減量措施，規定指定的商家與單位不能免費提供塑膠提袋，其中就包含連鎖便利商店。但不織布提網卻因為材質跟名稱不同，至今躲過規範的限制在便利商店流通著。這些不織布無法被回收，使用後只能丟到垃圾桶中。		113	C		外帶的東西會漏出來
廣告傳單	問卷	紙	◯			◯	廣告傳單-紙		不須拆解-紙	正確分類			廣告傳單-一般垃圾		不可回收	1,2,6	可回收		-	-	像是上亮面名片與某些特殊廣告傳單等，經過淋膜處理程序的紙類，外觀雖然看起來是一般的紙類，但複合了塑膠材質後其實會影響紙類回收的效率與再生的品質，應該以一般垃圾處理。而護貝後的紙張即使撕除護貝膠紙面上還是會有留下殘膠，所以也是只能丟入一般垃圾喔！		122	B		信箱會被廣告紙塞爆
釘書針			◯			◯	釘書針-鍍鋅鐵線		不須拆解-鍍鋅鐵線	包好、正確分類	請搜集多一點的量，包成一包，提高被回收的可能！	使用無針釘書機	釘書針-其他資源物		可回收	2,6	可回收	無資料	-	-	釘書針雖然很小，但其中鍍鋅鐵線在材質本身是可以回收的，如果你已經修煉成環保回收魔人、收集到一定的量，或許能試著創造回收價值、交由回收處理（但依照不同地區和回收狀態，無法不一定 100% 可行）又或者，可選用無針的釘書機減少不必要的資源浪費。	"蒐集到一定的量？最後要怎麼做？裝袋？
蒐集到一定的量再交付出去，這個比較屬於小量且回收價值不高，容易被當成一般垃圾"	120	B		釘書針都會沒釘好
口紅			◯			◯	"口紅-口紅
塑膠容器-塑膠（ABS等）"		"口紅
塑膠容器：塑膠（ABS等）"	清理、分解零件、正確分類			"口紅-一般垃圾
塑膠容器-一般塑膠類"		部分可回收	5	可回收	無資料	-	-	口紅這東西，總是難找到那個命定色吧？無論是用完與否，口紅的容器清空內容物後，就可以依據材質進行分類回收，也可以捐助給社福團體舉辦公益彩妝教學活動或義賣哦！		77	C		口紅會斷在管子裡
棉花棒			◯			◯	"棉花-棉花
塑膠軸-塑膠（PP）"		"棉花
塑膠軸：塑膠（PP）、紙"	正確分類		使用紙軸的棉花棒	"棉花-@塑膠軸
塑膠軸-一般垃圾"		不可回收	4,5	不可回收		-	-	海邊淨灘時常會撿到棉花棒的塑膠軸，大概很少人到海邊使用棉花棒然後丟棄，而是由陸源活動和垃圾掩埋場流出。塑膠軸的棉花棒太輕薄短小，還可能粘著難以拆解天然的棉花，所以難以回收，使用後只能直接丟入一般垃圾。如果想減塑，你可以選購木竹軸或是紙軸的棉花棒。		123	C		棉花用一次就會脫落
碎紙		紙	◯			✕	碎紙-紙		不須拆解-紙	正確分類			碎紙-廢紙類		可回收	2,6	可回收	無資料	-	-	辦公室碎紙機製造的碎紙大家都怎麼處理呢？除了可以作為寄送產品的緩衝墊料外，也能以廢紙類回收。但如果想讓這些碎紙順利製成再生紙，記得避免不小心混入訂書針跟膠帶，也小心不要混入無法回收的複合紙材如亮面名片、護貝紙、特殊加工的傳單、輸出大圖跟上亮膜的貼紙，影響回收製程。	"碎紙可回收啊？
單一紙類都可以回收"	132	B		同事揪吃飯都會忘記找你
碎玻璃			◯			✕	碎玻璃-玻璃		不須拆解-玻璃	包好、正確分類			碎玻璃-一般垃圾		不可回收	1,2,3,4,5,6	不可回收		-	-	「沒事沒事，碎碎平安啦」安撫著不小心摔破玻璃杯的人是你的體貼，但記得要將破掉的玻璃用報紙層層包好封上膠帶，並在外免註記「尖銳物」後再丟入一般垃圾，才能讓垃圾場的清潔人員也能工作平安喔。		92	C		看電影都會被後面的人踢椅背
拖把			◯			✕	"握把-鋁/木材/塑膠
拖把頭-纖維"		"握把：鋁、木材、塑膠
拖把頭：纖維"	正確分類			"握把-一般垃圾
拖把頭-@握把"		不可回收	1,2,4,6	"台北市：無須拆解，直接交給清潔隊。
其餘先是需自行拆解，僅回收金屬握把"	無資料			再神的拖把都有壞掉的一天，聚酯纖維的布面無法回收，只能丟進一般垃圾桶。是說，垃圾車沒練過吞劍，木柄請拆下後另外交給清潔人員，但如果拖把桿是金屬的話可以交由回收處理。		82	B		腳的小拇指會踢到桌腳
梳子			◯			◯	塑膠梳子-塑膠（尼龍/PP等）		不須拆解-塑膠（尼龍、PP等）、矽膠、木材	正確分類			塑膠梳子-一般垃圾		不可回收	4	不可回收		-	-	由塑膠（尼龍、PP）、矽膠、木材製成的塑膠梳子因為材質多元、組成複雜，通常無法被仔細拆解後處理，只能丟到一般垃圾中一起燒～毀～		63	B		頭髮會打結
輕便雨衣		雨衣	◯			◯	"雨衣-塑膠（PET/PVC等）
伸縮繩-棉、塑膠（PET等）"		"雨衣：塑膠（PET、PVC等）
伸縮繩：棉、塑膠（PET）等"	分解零件、正確分類			"雨衣-一般塑膠類
伸縮繩-一般垃圾"		部分可回收	1,2,5	可回收	無資料	-	-	其實輕便雨衣可以回收，乾淨的輕便雨衣其實就是放大版的塑膠袋，只要清理明顯髒污如土壤等，接著抽去塑膠束口繩，就可以廢塑膠類回收，但這些雨衣回收後也只能降級成次等材料，無法被有效再生。如果常碰上下雨，不如自備重複性雨衣，防水、耐用、也更環保。	"膜袋類塑膠有在回收？但回收率如何？
塑膠袋可回收的部分是透明、材質單一、沒有汙損皆可回收，沒有回收數據"	119	B		一穿好雨衣雨就會停了
枯枝落葉		落葉、樹枝	◯			✕	枯枝落葉-落葉、木材		不須拆解-落葉、木材	正確分類			枯枝落葉-堆肥		可回收	2	可回收	無資料	-	-	看著樹葉片片掉落，如此詩情畫意——只要你不是那個要負責掃樹下落葉的人的話。其實，這些落葉可視同生廚餘，收集成袋後單獨交由清潔人員，後會經過堆肥製程處理，就能化作更護花的春泥。但大型的倒木須另行聯絡清潔人員處理喔。		106	A		老闆會忘記你不要加香菜
彩色筆		色筆	◯			◯	"筆桿-塑膠
筆蓋-塑膠
筆芯-塑膠"		"筆桿：塑膠
筆蓋：塑膠
筆芯：塑膠"	分解零件、正確分類			"筆桿-一般塑膠類
筆蓋-一般塑膠類
筆芯-一般垃圾"		部分可回收	2,5,6	"塑膠筆桿-可回收
塑膠筆蓋-一般塑膠
筆芯-不可回收"	無資料	-	-	彩色筆看起來材質單純，應該可以回收吧？你忘了裡面還有筆芯嗎！轉開筆管取出筆芯、抽出筆頭並丟入垃圾桶後就可以將塑膠筆管與一般塑膠一起回收囉。做好簡單分類，讓後端處理更方便。		85	B		同事揪吃飯都會忘記找你
滑鼠			◯			✕	滑鼠-複合材質	"滑鼠線材：含塑膠（PVC）、銅絲
PCB多層板：玻璃纖維、環氧樹脂
外殼：塑膠（ABS等）"	"不須拆解
滑鼠線材：含塑膠（PVC）、銅絲
PCB多層板：玻璃纖維、環氧樹脂
外殼：塑膠（ABS等）"	正確分類			滑鼠-部分縣市|可回收	可回收縣市：臺北市、新北市	其他	6	"可回收-台北市、新北市
不可回收-其他縣市"	無資料	-	-	無論是近年使用的雷射滑鼠、藍芽滑鼠，還是幾乎快可以送到博物館的滾球滑鼠，那些損壞或不再使用的滑鼠你可能會直接丟進一般垃圾處理掉吧？但如果在台北市、新北市，這些滑鼠不需將線材跟零件拆下，直接以「廢資訊物品」回收，經過分類、破碎後就更有機會踏上重生之路。		125	B		USB要插三次才會成功
手機殼		保護殼、犀牛盾	◯			✕	手機殼-熱塑性彈性體（TPU）|/矽膠/塑膠（PC）		不須拆解：熱塑性彈性體（TPU）、矽膠、塑膠（PC）	正確分類			手機殼-一般垃圾		不可回收	5	不可回收		-	-	當買一支新手機時，大多數人可能不忍心讓寶貝手機赤裸裸面對各種意外，有些人喜歡多元外觀而常常換新殼。為了多樣需求，手機殼可能會使用 TPU 塑膠、矽膠、PC 塑膠等各種材料並複合其他材質，如果不再使用也無法回收，只能丟到一般垃圾中處理。	材質名稱重複	117	C		USB要插三次才會成功
保鮮膜			◯			✕	保鮮膜-塑膠（PE/PVC/PVDC）		"不須拆解
塑膠（PE、PVC、PVDC、PMP）"	正確分類		使用蜂蠟布、或保鮮盒	保鮮膜-一般垃圾		不可回收	1,3,7	不可回收		-	-	"市售的保鮮膜材質多元，輕薄透明的外觀即使是老行家也不容易一時之間分辨材質，甚至在使用過程中容易沾污到各種油水湯汁，這些因素都讓保鮮膜無法被有效回收，只能以一般垃圾處理。

如果想減少保鮮膜的使用，可以改用保鮮盒、天然的蜂蠟布或可重複使用的矽膠保鮮膜。"		125	C		保鮮膜會沒撕好破掉
塑膠牙線棒			◯			✕	塑膠牙線棒-塑膠（PE/PS）		"不須拆解：
線材：塑膠（PE）
握柄：塑膠（ PS）"	正確分類		使用牙線、或天然蠶絲牙線	塑膠牙線棒-一般垃圾		不可回收	1,4	不可回收		-	-	每支牙線棒平均大概只會在你口中停留不到一分鐘，但太沒經濟價值所以不被回收，後續掩埋後卻可能在環境中停留一百年。一次性塑膠的使用可以減，但口腔的保健不能少，建議可以改用像是牙線、或天然的蠶絲牙線代替。		99	C		老闆會忘記你不要加香菜
